,date,NVDA open,AMD open,INTC open,ATVI open,EA open,Curde oil,Gold,Nasdaq index,ETH-USD open,BTC-USD open
457,23-Dec-19,60.13,44.58,59.06,59.6,108.27,60.41,1482.3,8950.2,132.31,7508.9
458,20-Dec-19,59.53,43.44,58.32,59.4,108.02,61.11,1476.7,8911.84,129.38,7208.64
459,19-Dec-19,57.72,42.63,57.17,58.71,107.0,60.86,1475.9,8838.97,133.05,7277.59
460,18-Dec-19,57.42,42.79,57.39,58.34,106.0,60.55,1472.6,8834.65,122.66,6647.7
461,17-Dec-19,56.47,42.51,58.0,58.7,105.86,60.23,1474.1,8829.47,133.65,6931.32
462,16-Dec-19,56.47,41.73,58.21,59.23,105.01,59.87,1473.8,8791.31,143.14,7153.66
463,13-Dec-19,56.05,42.35,57.55,58.5,105.34,59.36,1463.1,8713.91,145.66,7244.66
464,12-Dec-19,54.04,39.4,56.75,56.6,103.54,58.88,1475.1,8645.36,143.62,7216.74
465,11-Dec-19,53.6,39.44,56.91,55.94,101.87,59.06,1463.1,8631.12,146.32,7277.2
466,10-Dec-19,53.35,39.2,56.71,54.46,101.84,58.92,1460.7,8623.56,148.18,7397.13
467,9-Dec-19,52.81,39.46,56.54,55.12,103.34,59.11,1458.8,8650.86,151.22,7561.8
468,6-Dec-19,52.88,40.1,56.66,55.12,102.89,58.32,1475.0,8634.25,149.4,7450.56
